fips,name,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01,Alabama,3041645,0,0,2838,73200,644416,1089677,603390,321310,185566,120907
04,Arizona,3312010,16207,87375,79985,115004,118383,206880,221160,702896,1729676,20162
05,Arkansas,2009228,0,30,14150,276370,534109,875228,307498,1586,1,0
06,California,11422746,295547,489737,897374,1797711,1824949,1880287,2235173,1551981,204125,136694
08,Colorado,2517292,368358,408104,1338055,278285,82617,347,0,0,0,0
09,Connecticut,1162656,26,3792,81944,316436,459731,266456,34097,137,0,0
10,Delaware,428859,0,0,0,0,5,29968,117848,273497,7541,0
11,District of Columbia,136963,0,0,0,0,0,20507,92900,23556,0,0
12,Florida,9198415,0,0,0,0,0,0,2436,2054593,2708294,4357142
13,Georgia,4455881,753,3888,42042,226995,1551458,1168097,749031,442650,142710,127660
16,Idaho,1047769,59352,237147,267106,266147,205193,1730,0,0,0,0
17,Illinois,5244277,837,954803,3089714,665265,494544,38589,432,6,0,0
18,Indiana,3550496,473,635915,1868649,703656,330835,10925,34,1,0,0
19,Iowa,2440064,44288,854747,1520938,20078,13,0,0,0,0,0
20,Kansas,1622856,0,1,32906,751208,824887,13803,9,0,0,0
21,Kentucky,2138757,219,2080,83477,1037864,905322,108171,1537,4,0,0
22,Louisiana,2359176,0,0,0,0,0,64188,517007,832195,527826,417936
23,Maine,702415,65641,109520,261540,243403,19034,6,1,0,0,0
24,Maryland,2197448,7034,22493,12694,27352,196981,552999,560321,681618,133212,2548
25,Massachusetts,2178427,14486,79790,218867,622379,943648,296556,2582,10,0,0
26,Michigan,4704291,964934,2195789,1532960,8780,6,0,0,0,0,0
27,Minnesota,2992027,1150146,1822418,19410,3,0,0,0,0,0,0
28,Mississippi,1931440,0,0,0,0,10579,585752,836699,239570,71663,187176
29,Missouri,3223900,0,6,259913,1680870,1174597,108351,160,3,0,0
30,Montana,899557,136562,371407,363765,14767,0,0,0,0,0,0
31,Nebraska,1150099,14,114461,978335,57125,8,0,0,0,0,0
32,Nevada,1212856,14771,10575,41637,207650,88391,37674,241601,556869,3599,0
33,New Hampshire,591974,36099,125944,225055,188288,16404,51,0,0,0,0
34,New Jersey,3437516,0,34,24625,139640,197279,1157882,1504438,389567,23111,0
35,New Mexico,1496419,87835,148768,159726,307465,526420,243288,1597,0,0,0
36,New York,5392713,463670,1374797,916811,615416,630427,941977,433084,15446,0,0
37,North Carolina,5521472,106295,122027,194202,262924,1153974,1855436,829475,428448,516460,36182
38,North Dakota,688263,209951,472910,5400,0,0,0,0,0,0,0
39,Ohio,6090889,2514,678578,3863052,1367354,178821,357,7,0,0,0
40,Oklahoma,2259475,0,8,516,12683,498347,1538023,209630,82,0,0
41,Oregon,1810008,196066,215420,905241,287145,107736,86042,5889,0,0,0
42,Pennsylvania,5733234,136829,691776,1393384,1084902,1142282,1024896,258287,440,0,0
44,Rhode Island,383811,0,0,3453,58378,256933,64905,130,1,0,0
45,South Carolina,2662675,176,713,631,6160,236357,1049264,575150,258188,331584,203836
46,South Dakota,689940,82421,364471,237087,5651,0,0,0,0,0,0
47,Tennessee,3324406,3285,10936,123107,395839,1361028,1289180,138370,641,1,0
48,Texas,12392049,11,257,1904,128419,483603,1146384,4170587,3120042,2726527,605203
49,Utah,1396242,55780,78542,201067,801564,127039,34991,72319,52,0,0
50,Vermont,312513,101354,148617,62048,97,1,0,0,0,0,0
51,Virginia,3854109,13802,103274,261904,298028,518405,680246,873405,522288,575551,2468
53,Washington,3081709,246445,827528,1580309,263308,150021,2435,1,0,0,0
54,West Virginia,1363474,36938,143992,320453,526400,310172,23962,9,1,0,0
55,Wisconsin,3375634,1568310,1765764,41414,1,0,0,0,0,0,0
56,Wyoming,339264,66103,149196,110179,9991,6,0,0,0,0,0
